順位,名称・コード・市場,取引値,発行済み株式数,時価総額(百万円),単元株数
1,トヨタ自動車(株)7203東証PRM掲示板,"2,502.506/20","15,794,987,460株","39,526,956百万円",100
2,(株)三菱ＵＦＪフィナンシャル・グループ8306東証PRM掲示板,"1,957.506/20","12,067,710,920株","23,622,544百万円",100
3,ソニーグループ(株)6758東証PRM掲示板,"3,60706/20","6,149,810,645株","22,182,367百万円",100
4,(株)日立製作所6501東証PRM掲示板,"3,99006/20","4,581,560,985株","18,280,428百万円",100
5,任天堂(株)7974東証PRM掲示板,"12,73006/20","1,298,690,000株","16,532,324百万円",100
6,(株)ファーストリテイリング9983東証PRM掲示板,"46,03006/20","318,220,968株","14,647,711百万円",100
7,(株)三井住友フィナンシャルグループ8316東証PRM掲示板,"3,58006/20","3,884,445,458株","13,906,315百万円",100
8,日本電信電話(株)9432東証PRM掲示板,152.306/20,"90,550,316,400株","13,790,813百万円",100
9,(株)キーエンス6861東証PRM掲示板,"56,18006/20","243,207,684株","13,663,408百万円",100
10,ソフトバンクグループ(株)9984東証PRM掲示板,"8,97906/20","1,469,995,230株","13,199,087百万円",100
11,(株)リクルートホールディングス6098東証PRM掲示板,"7,77206/20","1,563,975,149株","12,155,215百万円",100
12,中外製薬(株)4519東証PRM掲示板,"7,18906/20","1,679,057,667株","12,070,746百万円",100
13,伊藤忠商事(株)8001東証PRM掲示板,"7,52706/20","1,584,889,504株","11,929,463百万円",100
14,三菱重工業(株)7011東証PRM掲示板,"3,45006/20","3,373,647,810株","11,639,085百万円",100
15,三菱商事(株)8058東証PRM掲示板,"2,813.506/20","4,022,391,153株","11,316,998百万円",100
16,東京エレクトロン(株)8035東証PRM掲示板,"23,98506/20","471,632,733株","11,312,111百万円",100
17,東京海上ホールディングス(株)8766東証PRM掲示板,"5,78806/20","1,934,000,000株","11,193,992百万円",100
18,ソフトバンク(株)9434東証PRM掲示板,217.506/20,"47,772,856,700株","10,390,596百万円",100
